id,app_id,name,description,fullgame_app_id,fullgame_name,type,publishers,developers,is_free,interface_languages,fullaudio_languages,subtitles_languages,windows,mac,linux,genre_id,type_genre,release_date,coming_soon,currency,initial_price,final_price,discount_percent,formatted_initial_price,formatted_final_price
1,1622230,Meanderer,"Meanderer is a unique roguelite game set in a world of loss and rebirth. Embark on a pilgrimage with a young monk to make the Sun bright once more. Traverse the ruins of fallen empires, encounter strange endearing characters, and sacrifice your powers as you get closer to fulfilling your purpose.",0,,game,Panela Hardproducts,Panela Hardproducts,0,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,1,1,"1, 25, 23, 3","Acción, Aventura, Indie, Rol",Próximamente,1,,0,0,0,,
2,1622221,Phoenix Point - Kaos Engines DLC,"Take a drive on the wild side with the Kaos Engines DLC! Featuring a brand-new vehicle, the Kaos Buggy, tons of vehicle customizations, and unpredictable Kaos Tech weaponry, this DLC packs a serious punch! Pedal to the metal, Phoenix Operatives!",839770,Phoenix Point,dlc,Snapshot Games Inc.,"Saber Minsk, Snapshot Games Inc.",0,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,1,0,"3, 28, 2","Rol, Simuladores, Estrategia",1 MAR 2022,0,ARS,6799,6799,0,ARS$ 67.99,"ARS$ 67,99"
3,1622220,Phoenix Point - Corrupted Horizons DLC,"¡Aparece una nueva cepa mortal del Pandoravirus que mina la voluntad de cada ser que toca! Esta es una amenaza mortal para Phoenix, pero ¿pueden hacer uso de ella contra los Pandorans, también? Nuevos enemigos, un nuevo tipo de soldado y nuevas misiones de campaña.",839770,Phoenix Point,dlc,Snapshot Games Inc.,Snapshot Games Inc.,0,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,1,0,"3, 2","Rol, Estrategia",1 OCT 2021,0,ARS,6799,6799,0,ARS$ 67.99,"ARS$ 67,99"
4,1622270,COINS BATTLE,Recoge monedas del mundo y lucha contra ellas en batallas por nuevas monedas.,0,,game,Hede,Hede,0,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,1,1,"1, 4, 23, 28, 2","Acción, Casual, Indie, Simuladores, Estrategia",9 JUN 2021,0,ARS,640000,64000,90,"ARS$ 6.400,00","ARS$ 640,00"
5,1622150,RPG Maker MZ - The Adventurer’s Journey II,The Adventurer's Journey II Music Pack features 20 orchestrated tracks from D. C. Kairi Sawler that will surely give your games some new ambiance! Everything from Egypt to Japan and back again!,1096900,RPG Maker MZ,dlc,KOMODO,Kairi Sawler,0,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,1,0,"3, 53, 59","Rol, Diseño e ilustración, Publicación web",6 MAY 2021,0,ARS,40000,40000,0,ARS$ 400.00,"ARS$ 400,00"
6,1622290,RPG Maker MZ - Nightmares Music Pack,A mix of terrifying intensity and dreamy flow make this music pack a unique and must-have music collection.,1096900,RPG Maker MZ,dlc,KOMODO,JDB Artist,0,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,1,0,"3, 53, 59","Rol, Diseño e ilustración, Publicación web",10 JUN 2021,0,ARS,175000,175000,0,ARS$ 1750.00,"ARS$ 1.750,00"
7,1622240,RPG Maker MZ - Samurai Classics Music Resource Pack,Embark upon a musical journey that takes you straight into the heart of Sengoku era!,1096900,RPG Maker MZ,dlc,KOMODO,bitter sweet entertainment,0,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,1,0,"3, 53, 59","Rol, Diseño e ilustración, Publicación web",6 MAY 2021,0,ARS,105000,105000,0,ARS$ 1050.00,"ARS$ 1.050,00"
8,1622180,Frame Game,"Grab some of your friends, a mouse or a tablet pen and make .GIFs together! Test your own .GIF making abilities in the gif-maker or create a lobby and have up to 10 people take turns drawing frames in each other's animations! Create amazing masterpieces of beauty or horribly funny abominations!",0,,game,Spooky Boogis,"Spooky Boogis, Stejkrobot",0,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,1,0,"4, 23","Casual, Indie",14 JUL 2021,0,ARS,10499,10499,0,ARS$ 104.99,"ARS$ 104,99"
9,1622310,Kity Builder,"Explora un archipiélago desierto y construye ciudades bonitas en sus islas con Kity, el gato constructor. Personaliza el entorno y los edificios a tu ritmo en un juego relajante y tranquilo.",0,,game,"Sambero, irx99, YerayToledano, Juan Hust","Sambero, irx99, YerayToledano, Juan Hust",0,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,0,0,"25, 4, 23","Aventura, Casual, Indie",Próximamente,1,,0,0,0,,
10,1622250,Dead Hospital,"Horror Survival. La acción tiene lugar en un hospital donde la gente está muriendo. Eres el único sobreviviente... además... necesitas resolver el misterio del hospital, pero ten cuidado, porque algo inimaginable y muy aterrador puede estar escondido a la vuelta de la esquina.",0,,game,Phantom Studio,Phantom Studio,0,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,0,0,"1, 25, 23, 29","Acción, Aventura, Indie, Multijugador masivo",27 MAY 2021,0,ARS,5399,5399,0,ARS$ 53.99,"ARS$ 53,99"
11,1622410,Alchementalist,"Alchementalist is a procedurally generated rogue-lite dungeon crawler featuring spell-crafting. Fight your way through hordes of enemies, mine elemental nodes for materials and craft spell boosts, or even totally new spells, that allow you to manipulate the elements any way you choose!",0,,game,RefresherTowel,RefresherTowel,0,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,0,0,"1, 23, 3","Acción, Indie, Rol",Por confirmarse,1,,0,0,0,,
12,1622380,Goons: Legends of the Hockeyverse Playtest,,0,,game,,,0,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,0,0,,,27 DIC 2021,0,,0,0,0,,
13,1622420,折射大师（Master of refraction）,"《Master of refraction》is a puzzle game for children that combines &quot;leisure&quot; and &quot;fun&quot;. Players can use props to adjust the angle of the turret and the mirror to light up the stars, so as to pass to the next level. This work was originally a mobile game.",0,,game,明枭网络,明枭网络,1,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,0,0,"4, 37, 70","Casual, Free to Play, Acceso anticipado",21 MAY 2021,0,,0,0,0,,
14,1622350,Copycat,"Un juego de aventuras sano y narrativo sobre el rechazo, la pertenencia y el verdadero significado del hogar. Sigue la historia de una gata de refugio recién adoptada que se convierte en víctima de un elaborado plan cuando un imitador callejero y celoso le roba su lugar en el hogar.",0,,game,Spoonful Of Wonder,Spoonful Of Wonder,0,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,1,0,"25, 23","Aventura, Indie",Próximamente,1,,0,0,0,,
15,1622360,Stellona,A rabbit western adventure with a large emphasis on exploration and discovery. Make friends. Explore the ruins of a long-dead civilization. Be a bunny.,0,,game,KC Amber,KC Amber,0,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,0,0,"25, 4, 23","Aventura, Casual, Indie",29 JUL 2022,0,ARS,6799,6799,0,ARS$ 67.99,"ARS$ 67,99"
16,1622490,Swing Dunk Playtest,,0,,game,,,0,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,0,0,,,2 MAY 2021,0,,0,0,0,,
17,1622510,Touhou 3D Dungeon,This is a 3D action game with retro-style graphics. Use Reimu and Marisa to solve the mysteries of the dungeon to clear it!,0,,game,Rabbit Tail Works,Rabbit Tail Works,0,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,0,0,"1, 23","Acción, Indie",8 JUL 2021,0,ARS,11499,11499,0,ARS$ 114.99,"ARS$ 114,99"
18,1622470,Content,"Content is a point-and-click horror adventure game. Become Anthony, an influencer looking for content that will make his videos viral. Investigate the cases, combine and use tools to overcome the given challenges. The fate of the protagonist, Anthony, is in your hands.",0,,game,PsychoFlux Entertainment,UKZ Arts,0,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,0,0,"25, 4, 23","Aventura, Casual, Indie",4 FEB 2022,0,ARS,14299,14299,0,ARS$ 142.99,"ARS$ 142,99"
19,1622590,Templar Castle Builder,"Asedia y conquista los castillos y ciudades de tus enemigos. Construye máquinas de asedio y entrena a tu ejército para asaltar las ciudades fortificadas, pero no descuides tu sistema de defensa. Cambia el curso de la historia y no permitas que la Orden de los Templarios desaparezca.",0,,game,WarZoneLab,WarZoneLab,0,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,0,0,"1, 25, 28, 2","Acción, Aventura, Simuladores, Estrategia",Próximamente,1,,0,0,0,,
20,1621661,"SAMURAI SHODOWN - DLC CHARACTER ""SHIRO TOKISADA AMAKUSA""",Esta compra digital desbloquea el personaje de DLC &quot;SHIRO TOKISADA AMAKUSA&quot; para tu copia de SAMURAI SHODOWN.,1342260,SAMURAI SHODOWN,dlc,SNK CORPORATION,SNK CORPORATION,0,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,0,0,1,Acción,14 JUN 2021,0,ARS,7899,7899,0,ARS$ 78.99,"ARS$ 78,99"
21,1622600,Moxina,Moxina comes from the pronunciation of Mô-sîn-á in chinese. It is a Taiwan Folklore as it is a child-like ghost that frequently appeared in the forest. It would hypnosis the targeted person and bring him to the forest. [/img],0,,game,GameJourney,Chieng Li Sheng,0,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,0,0,"25, 23, 28","Aventura, Indie, Simuladores",19 MAY 2021,0,ARS,2699,0,0,ARS$ 26.99,"ARS$ 0,00"
22,1622560,Interplanetary Gardener,"Corta el césped, sobrevive a climas implacables en planetas alienígenas y usa créditos para mejorar el equipo de tecnología punta. ¡Conviértete en el mejor jardinero interplanetario!",0,,game,Yellowbound,Yellowbound,0,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,0,0,"1, 4, 23","Acción, Casual, Indie",13 ENE 2022,0,ARS,40000,40000,0,ARS$ 400.00,"ARS$ 400,00"
23,1622610,Hell Slayer,"Clear your way down to hell and bring punishment to the one responsible, Lucifer, fallen angel and king of sins. Face unending hordes of demons, optimize and perfect your build.",0,,game,Neolithic Games,Neolithic Games,0,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,0,0,"1, 23, 3, 70","Acción, Indie, Rol, Acceso anticipado",26 ENE 2023,0,ARS,24900,24900,0,ARS$ 249.00,"ARS$ 249,00"
24,1621670,"SAMURAI SHODOWN - DLC CHARACTER ""BAIKEN""",Esta compra digital desbloquea el personaje de DLC &quot;BAIKEN&quot; para tu copia de SAMURAI SHODOWN.,1342260,SAMURAI SHODOWN,dlc,SNK CORPORATION,SNK CORPORATION,0,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,0,0,1,Acción,18 AGO 2021,0,ARS,7899,7899,0,ARS$ 78.99,"ARS$ 78,99"
25,1621690,Core Keeper,"Explora una caverna infinita llena de criaturas, reliquias y recursos en una aventura minera de tipo «sandbox» para 1-8 jugadores. Extrae recursos, construye, lucha, fabrica y cultiva para desentrañar el misterio del antiguo Núcleo.",0,,game,Fireshine Games,Pugstorm,0,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,0,1,"25, 4, 23, 3, 70","Aventura, Casual, Indie, Rol, Acceso anticipado",8 MAR 2022,0,ARS,110000,110000,0,ARS$ 1100.00,"ARS$ 1.100,00"
26,1621680,Sword and Fairy 4,*** This game is only available in Chinese *** 《仙四》自上市至今，廣受玩家青睞，刻骨銘心的故事軸線，至今仍被各界譽為單機遊戲中的雋永之作。故事講述山野少年雲天河從小孤獨地成長，整天以追豬、玩豬、獵豬為樂。某日因為盜墓少女韓菱紗而闖入父母的神秘墓室，墓室中的奇事奇景使得山野少年踏上了尋覓往事、求仙問道的旅途……,0,,game,SOFTSTAR ENTERTAINMENT,SOFTSTAR TECHNOLOGY(SHANGHAI),0,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,0,0,3,Rol,17 JUN 2021,0,ARS,39900,39900,0,ARS$ 399.00,"ARS$ 399,00"
27,1621750,Good Girls,Relaxing puzzle game. Just relax and play or play for speed. Or look... :D,0,,game,R&R,R&R,0,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,0,0,4,Casual,2 JUN 2021,0,ARS,1399,0,0,ARS$ 13.99,"ARS$ 0,00"
28,1621740,American Truck Simulator - Goodyear Tires Pack,"We are proud to introduce a new set of truck tires and truck accessories, officially licensed from Goodyear to American Truck Simulator.",270880,American Truck Simulator,dlc,SCS Software,SCS Software,0,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,1,1,"23, 28","Indie, Simuladores",10 MAY 2021,0,ARS,45000,45000,0,ARS$ 450.00,"ARS$ 450,00"
29,1621760,Decision: Red Daze,"Decision: Red Daze es un juego de rol y acción que combina mecánicas de supervivencia y defensa de torres. Explora un páramo apocalíptico, construye un refugio y lidera a tus especialistas por un mundo desolado en busca de una cura para la enfermedad infecciosa que convierte a la gente en monstruos.",0,,game,Nordcurrent Labs,FlyAnvil,0,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,0,0,"1, 23, 3, 2","Acción, Indie, Rol, Estrategia",19 MAY 2022,0,ARS,99999,99999,0,ARS$ 999.99,"ARS$ 999,99"
30,1621880,Magnery Reign,"Siéntete como el administrador de tu ciudad. Construye un asentamiento, fortalece tus defensas, repele ataques, comercia, suelta y disfruta de la victoria tan esperada.",0,,game,REDIZIT Game Studio,REDIZIT,0,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,0,0,"23, 28, 2","Indie, Simuladores, Estrategia",,1,,0,0,0,,
31,1621860,NekoDice,A software for vtubers.,0,,game,ShengMa,Anigen Media Group,1,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,0,0,"37, 51, 57","Free to Play, Animación y modelado, Utilidades",24 JUN 2021,0,,0,0,0,,
32,1621890,Serial Killer Life,"Veneno, descargas eléctricas, derrumbes, picos, falsos accidentes, son tus letales herramientas para obtener dinero. Ten en cuenta que puedes utilizar a los huéspedes del hotel para conseguir tu máxima prioridad: robar la cámara acorazada del banco.",0,,game,FiodorSoldatov,WarZoneLab,0,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,0,0,"1, 25, 4, 23, 28, 2","Acción, Aventura, Casual, Indie, Simuladores, Estrategia",Próximamente,1,,0,0,0,,
33,1621900,Nightclub Manager: Violet Vibe,"Conviértete en un magnate de clubes nocturnos en un fascinante simulador de administrador de club en primera persona. Abre tu local: decóralo, contrata seguratas y bailarinas, elige la música. Interactúa con tus clientes, mezcla bebidas y reacciona cuando las cosas se pongan difíciles!",0,,game,Movie Games S.A.,"Flint Arts, True Games Syndicate",0,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,0,0,28,Simuladores,Próximamente,1,,0,0,0,,
34,1621910,Radio Commander: Pacific Campaign,Enfréntate al Imperio de Japón en la guerra del Pacífico. Analiza los informes y da órdenes mediante mensajes de radio. Dirige flotas y escuadrones aéreos tanto en tierra como en mar. Cambia el curso de la batalla con un estilo de juego no lineal. El desenlace de la guerra está en tus manos.,0,,game,"Games Operators, Dessert Shrimp Games",Squadron Studio,0,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,0,0,2,Estrategia,Por confirmarse,1,,0,0,0,,
35,1621920,trappuzzler,trappuzzler is a puzzle game about feeling trapped and moving people.,0,,game,Kevin De Keyser,Kevin De Keyser,0,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,1,0,"4, 23, 28","Casual, Indie, Simuladores",31 MAY 2021,0,ARS,2699,0,0,ARS$ 26.99,"ARS$ 0,00"
36,1621930,REVERSE-The Eternal Fire,The rotate &amp; flip inherent visual image breaks the limitations of the perspective and formal logic of traditional 2D games. Play as the knight who lives by fire. Use visual rotation and flip to pass obstacles and break the shackles of perspective dimensions. Eventually obtain the eternal fire.,0,,game,"RESET-STUDIO, Light of Creators",RESET-STUDIO,0,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,0,0,"1, 25, 4, 23, 3, 2","Acción, Aventura, Casual, Indie, Rol, Estrategia",Próximamente,1,,0,0,0,,
37,1621950,ULTRA NINJA SOUL,"ULTRA NINJA SOUL is an orthodox platformer. The player's goal is to control the main character, a ninja, and rescue a princess who has been kidnapped by youkai. The player collects sealed cards of ninjutsu from treasure chests along the way and uses a variety of attacks to conquer the stage.",0,,game,STUDIO POCO,STUDIO POCO,0,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,0,0,"1, 23","Acción, Indie",1 JUN 2021,0,ARS,7899,7899,0,ARS$ 78.99,"ARS$ 78,99"
38,1621990,Stray Blade,Stray Blade es un juego de rol de acción aventura en el que encarnas a un aventurero que explora el valle de Acrea con su compañero Boji. Desvela la historia del valle y domina el poder de los tres metales acreos para restaurar el equilibrio en esta tierra.,0,,game,505 Games,Point Blank Games,0,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,0,0,"1, 25, 3","Acción, Aventura, Rol",20 ABR 2023,0,ARS,290000,290000,0,ARS$ 2900.00,"ARS$ 2.900,00"
39,1621980,Territory: Animals Genetic Strategy,"Strategy game about genes and animal species. Evolve, reproduce, expand to new territories, survive, and fight to achieve various goals like biodiversity or dominance in the ecosystem.",0,,game,Simplemole,Simplemole,0,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,0,0,"23, 28, 2","Indie, Simuladores, Estrategia",31 MAY 2022,0,ARS,14900,14900,0,ARS$ 149.00,"ARS$ 149,00"
40,1622030,Heard There Was A Chosen One,What if The Dark Lord attacked you the moment that your quest began? Now it is time to answer that question in the randomly-generated Land of Hexile!,0,,game,Gestmorph Games,Gestmorph Games,1,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,1,1,"1, 25, 4, 37, 23","Acción, Aventura, Casual, Free to Play, Indie",17 MAY 2021,0,,0,0,0,,
41,1622020,Coloring Game 4 – Science Fiction,The fourth DLC to the Coloring Game 4. The theme of this DLC is the science fiction.,1554790,Coloring Game 4,dlc,L. Stotch,L. Stotch,0,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,0,0,"4, 37, 23","Casual, Free to Play, Indie",5 MAY 2021,0,ARS,16500,16500,0,ARS$ 165.00,"ARS$ 165,00"
42,1622000,Leave!,This is a Horror Adventure game that takes VR movement and lets you move around as you please and it takes the horror aspect in that you will always be curious and worried about where you might get scared next.,0,,game,SoloDolo,Isaiah Barrera,1,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,No hay soporte para este tipo de idioma,1,0,0,"37, 70","Free to Play, Acceso anticipado",Próximamente,1,,0,0,0,,
